var_smoothing,priors,accuracy_test,f1_weighted_test,cv_mean,cv_std
1e-09,None,0.851063829787234,0.8482327250673412,0.7992291889803873,0.05605174233289751
1e-09,Uniform,0.8557919621749409,0.852919824114246,0.798044001193967,0.05626940005669814
1e-03,None,0.8770685579196218,0.876231251826332,0.8732446052007795,0.017154032496005302
1e-03,Uniform,0.8794326241134752,0.8785635589968945,0.8726458658894176,0.014001682255322119
1e-01,None,0.7115839243498818,0.6993058674781234,0.7109089951363405,0.015900056690568477
1e-01,Uniform,0.7186761229314421,0.7076027121916962,0.7174336733798043,0.017756278093914758
