priors,accuracy_test,f1_weighted_test,cv_mean,cv_std
priors=None (estimado pelos dados),0.851063829787234,0.8482327250673412,0.7992291889803873,0.05605174233289751
priors=uniform (1/7 para cada classe),0.8557919621749409,0.852919824114246,0.798044001193967,0.05626940005669814
