metric,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
euclidean,0.5538461538461539,0.5335724774123795,0.5538461538461539,0.5392201480590028,0.5505075146220478,0.014967250780660468
manhattan,0.5492307692307692,0.5221241469712691,0.5492307692307692,0.533327353201186,0.5593558895387576,0.021004322923753847
chebyshev,0.536923076923077,0.5199680250996042,0.536923076923077,0.5216864312702445,0.5318466350781077,0.013513525160674942
minkowski,0.5538461538461539,0.5335724774123795,0.5538461538461539,0.5392201480590028,0.5505075146220478,0.014967250780660468
