weights,k,accuracy_test,f1_weighted_test,cv_mean,cv_std
uniform,3,0.553076923076923,0.549910748999651,0.5406968608869475,0.005294659309573119
uniform,5,0.5584615384615385,0.5487465705282001,0.5506988968682904,0.010167468582048155
uniform,11,0.5538461538461539,0.5392201480590028,0.5505075146220478,0.014967250780660468
uniform,21,0.546923076923077,0.5235940069948788,0.5524292959206337,0.011362894814079125
uniform,51,0.5453846153846154,0.5198000552995176,0.5468523728437107,0.016003794960252622
distance,3,0.6353846153846154,0.6324375201678459,0.6126608425260975,0.005239351394499655
distance,5,0.6530769230769231,0.647101670030968,0.6311288591100911,0.013999453450831006
distance,11,0.66,0.6503114446420994,0.6488337528688828,0.011151628560816381
distance,21,0.6707692307692308,0.6580217648233535,0.6492179980750722,0.009120461626468495
distance,51,0.6684615384615384,0.6533502868379715,0.6571083512252905,0.007337793488169762
