n_estimators,accuracy_train,accuracy_test,f1_weighted_test,cv_mean,cv_std
5,0.9619010967866076,0.6192307692307693,0.6134856747493208,0.6116928259421041,0.01727524358065794
10,0.9867231094862421,0.6492307692307693,0.6405669749623222,0.6365164359221145,0.010719403898126997
25,0.9990379064845103,0.6792307692307692,0.6697366175524574,0.6497949211519953,0.007664489681803549
50,1.0,0.6892307692307692,0.6774353377082827,0.6572993632931072,0.00780889168927061
100,1.0,0.6961538461538461,0.6857870601010598,0.6617285481602132,0.0064191136725246685
200,1.0,0.6946153846153846,0.6836853430151829,0.6621114977419117,0.009988945010921423
400,1.0,0.693076923076923,0.6816247496839297,0.6642287332494263,0.01043033099312828
