max_depth,accuracy_train,accuracy_test,f1_weighted_test,cv_mean,cv_std
2,0.5385799499711372,0.5192307692307693,0.44620417549754815,0.5358856518842081,0.014952470804964608
4,0.5572445641716375,0.54,0.48260028833419516,0.5458930554527283,0.01204866537308085
6,0.6167019434289013,0.57,0.535587649690988,0.5722523506330051,0.017519883801401005
8,0.7088705022128151,0.6123076923076923,0.5847135136392426,0.594185237284371,0.01744033505214027
10,0.8216278622282086,0.6453846153846153,0.6253524682196153,0.6234339601688014,0.019924443264096123
15,0.993650182797768,0.6946153846153846,0.6817200124753375,0.6613422669726807,0.007683330102474306
20,1.0,0.6961538461538461,0.6844386772051191,0.6596079810468647,0.011628344534997986
None,1.0,0.6961538461538461,0.6857870601010598,0.6617285481602132,0.0064191136725246685
