max_features,n_feats_por_split,accuracy_train,accuracy_test,Precision,Recall,F1-Score,CV Mean,CV Std
sqrt,3,1.0,0.6961538461538461,0.6995251189233089,0.6961538461538461,0.6857870601010598,0.6617285481602132,0.0064191136725246685
log2,3,1.0,0.6961538461538461,0.6995251189233089,0.6961538461538461,0.6857870601010598,0.6617285481602132,0.0064191136725246685
None (todas),11,1.0,0.6807692307692308,0.6757546262822245,0.6807692307692308,0.6705731321178816,0.6598006589175982,0.009961270653826064
0.3,3,1.0,0.6961538461538461,0.6995251189233089,0.6961538461538461,0.6857870601010598,0.6617285481602132,0.0064191136725246685
0.5,5,1.0,0.696923076923077,0.7002755456234954,0.696923076923077,0.685950583681508,0.6607618272007107,0.011148709422609912
0.8,8,1.0,0.6861538461538461,0.6839531381156141,0.6861538461538461,0.6764739903459325,0.6572988080254683,0.007833258051917586
