Modelo,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
GaussianNB (default),0.5981087470449172,0.6490650631938354,0.5981087470449172,0.5730631715967528,0.552771583586466,0.03991871887540054
MultinomialNB (alpha=1.0),0.4160756501182033,0.4773352523038709,0.4160756501182033,0.3750076560273767,0.40107632609344546,0.009880678923952418
MultinomialNB (alpha=0.1),0.4160756501182033,0.4773352523038709,0.4160756501182033,0.3750076560273767,0.4028532298561972,0.011417059200113317
MultinomialNB (alpha=10),0.39952718676122934,0.44133368419383157,0.39952718676122934,0.3513125959645859,0.38922971573051457,0.01312585571811174
ComplementNB (alpha=1.0),0.3877068557919622,0.4913365232726168,0.3877068557919622,0.27846220941114724,0.3785542464839429,0.011421860679770877
ComplementNB (alpha=0.1),0.3877068557919622,0.4913365232726168,0.3877068557919622,0.27846220941114724,0.37973767843660566,0.010742162516846968
