alpha,accuracy_test,f1_weighted_test,cv_mean,cv_std
0.001,0.4160756501182033,0.3750076560273767,0.40344494583252855,0.01175485971381377
0.01,0.4160756501182033,0.3750076560273767,0.40344494583252855,0.01175485971381377
0.1,0.4160756501182033,0.3750076560273767,0.4028532298561972,0.011417059200113317
0.5,0.4160756501182033,0.3750076560273767,0.4028514740224395,0.010213245019395486
1.0,0.4160756501182033,0.3750076560273767,0.40107632609344546,0.009880678923952418
5.0,0.4066193853427896,0.35993742529910794,0.3957456148051902,0.010598959840542705
10.0,0.39952718676122934,0.3513125959645859,0.38922971573051457,0.01312585571811174
50.0,0.3640661938534279,0.3067744488005041,0.3436131547065124,0.016682271243897984
100.0,0.3144208037825059,0.24427406318836847,0.30096746440047056,0.014386529728402238
